Hijri year,Month,Date,Seen?,Method,Clouds,Location,Lat,Lon
1437,10,05-Jul-16,Not_seen,Telescope,Partly_Cloudy,"Cardiff, Wales (UK)",51.48,-3.18
1437,10,05-Jul-16,Not_seen,Naked-eye,Partly_Cloudy,"Dewsbury, West Yorkshire (UK)",53.69076,-1.62907
1437,10,05-Jul-16,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1437,10,05-Jul-16,Not_seen,Binoculars,Partly_Cloudy,"Luton, Bedfordshire (UK)",51.87967,-0.41748
1437,10,05-Jul-16,Not_seen,Naked-eye,Clear,"Surbiton, Greater London (UK)",51.39148,-0.29825
1437,10,05-Jul-16,Not_seen,Naked-eye,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1437,10,06-Jul-16,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"High Wycombe, Buckinghamshire (UK)",51.62907,-0.74934
1437,10,06-Jul-16,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1437,11,03-Aug-16,Not_seen,Naked-eye,Totally_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1437,11,03-Aug-16,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"Cardiff, Wales (UK)",51.48,-3.18
1437,11,03-Aug-16,Not_seen,Naked-eye,Totally_Cloudy,"Dewsbury, West Yorkshire (UK)",53.69076,-1.62907
1437,11,03-Aug-16,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"Dudley, West Midlands (UK)",52.5,-2.08333
1437,11,03-Aug-16,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Morden, Greater London (UK)",51.39822,-0.19837
1437,11,03-Aug-16,Not_seen,Naked-eye,Totally_Cloudy,"Walsall, West Midlands (UK)",52.58528,-1.98396
1437,11,03-Aug-16,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1437,11,04-Aug-16,Not_seen,Naked-eye,Partly_Cloudy,"Dewsbury, West Yorkshire (UK)",53.69076,-1.62907
1437,11,04-Aug-16,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"Morden, Greater London (UK)",51.39822,-0.19837
1437,11,04-Aug-16,Not_seen,Naked-eye,Partly_Cloudy,"Saltcoats, North Ayrshire, Scotland (UK)",55.63616,-4.78588
1437,12,03-Sep-16,Not_seen,Naked-eye,Totally_Cloudy,"Crawley, West Sussex (UK)",51.11303,-0.18312
1437,12,02-Sep-16,Not_seen,Naked-eye,Partly_Cloudy,"Dewsbury, West Yorkshire (UK)",53.69076,-1.62907
1437,12,02-Sep-16,Not_seen,Naked-eye,Totally_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1438,1,01-Oct-16,Not_seen,Naked-eye,Totally_Cloudy,"Batley, West Yorkshire (UK)",53.70291,-1.6337
1438,1,01-Oct-16,Not_seen,Naked-eye,Totally_Cloudy,"Croydon, Greater London (UK)",51.38333,-0.1
1438,1,01-Oct-16,Not_seen,Naked-eye,Totally_Cloudy,"Luton, Bedfordshire (UK)",51.87967,-0.41748
1438,1,01-Oct-16,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1438,2,31-Oct-16,Not_seen,Naked-eye,Partly_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1438,2,31-Oct-16,Not_seen,Naked-eye,Partly_Cloudy,"Surbiton, Greater London (UK)",51.39148,-0.29825
1438,2,31-Oct-16,Not_seen,Naked-eye,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1438,3,29-Nov-16,Not_seen,Naked-eye,Clear,"Croydon, Greater London (UK)",51.38333,-0.1
1438,3,29-Nov-16,Not_seen,Naked-eye,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1438,3,30-Nov-16,Seen,Naked-eye,Clear,"London, Greater London (UK)",51.50853,-0.12574
1438,4,30-Dec-16,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1438,4,30-Dec-16,Not_seen,Naked-eye,Totally_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1438,4,30-Dec-16,Seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1438,5,28-Jan-17,Not_seen,Naked-eye,Totally_Cloudy,"Croydon, Greater London (UK)",51.38333,-0.1
1438,5,28-Jan-17,Not_seen,Naked-eye,Totally_Cloudy,"Dewsbury, West Yorkshire (UK)",53.69076,-1.62907
1438,5,28-Jan-17,Not_seen,Naked-eye,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1438,5,29-Jan-17,Not_seen,Naked-eye,Totally_Cloudy,"Croydon, Greater London (UK)",51.38333,-0.1
1438,5,29-Jan-17,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1438,6,27-Feb-17,Not_seen,Naked-eye,Partly_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1438,6,27-Feb-17,Not_seen,Naked-eye,Totally_Cloudy,"Crawley, West Sussex (UK)",51.11303,-0.18312
1438,6,27-Feb-17,Seen,Naked-eye,Partly_Cloudy,"Liverpool, Merseyside (UK)",53.41058,-2.97794
1438,7,29-Mar-17,Not_seen,Naked-eye,Totally_Cloudy,"Liverpool, Merseyside (UK)",53.41058,-2.97794
1438,8,27-Apr-17,Seen,Naked-eye,Clear,"Cradley Heath, West Midlands (UK)",52.47214,-2.08212
1438,9,26-May-17,Not_seen,Naked-eye,Partly_Cloudy,"Ashbourne, Derbyshire (UK)",53.01667,-1.73333
1438,9,26-May-17,Not_seen,Naked-eye,Clear,"Batley, West Yorkshire (UK)",53.70291,-1.6337
1438,9,26-May-17,Not_seen,Naked-eye,Clear,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1438,9,26-May-17,Not_seen,Naked-eye_and/or_Binoculars,Clear,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1438,9,26-May-17,Not_seen,Naked-eye,Partly_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1438,9,26-May-17,Not_seen,Binoculars,Clear,"Cardiff, Wales (UK)",51.48,-3.18
1438,9,26-May-17,Not_seen,Naked-eye,Clear,"Crawley, West Sussex (UK)",51.11303,-0.18312
1438,9,26-May-17,Not_seen,Naked-eye,Clear,"Leicester, Leicestershire (UK)",52.6386,-1.13169
1438,9,26-May-17,Not_seen,Naked-eye,Partly_Cloudy,"Liverpool, Merseyside (UK)",53.41058,-2.97794
1438,9,26-May-17,Not_seen,Binoculars,Clear,"London, Greater London (UK)",51.50853,-0.12574
1438,9,26-May-17,Not_seen,Naked-eye,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1438,10,24-Jun-17,Not_seen,Naked-eye,Partly_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1438,10,24-Jun-17,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1438,10,24-Jun-17,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Dewsbury, West Yorkshire (UK)",53.69076,-1.62907
1438,10,24-Jun-17,Not_seen,Naked-eye,Clear,"Hounslow, Greater London (UK)",51.46839,-0.36092
1438,10,24-Jun-17,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Luton, Bedfordshire (UK)",51.87967,-0.41748
1438,10,24-Jun-17,Not_seen,Naked-eye,Partly_Cloudy,"Surbiton, Greater London (UK)",51.39148,-0.29825
1438,10,24-Jun-17,Not_seen,Naked-eye,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1438,10,25-Jun-17,Seen,Naked-eye,Partly_Cloudy,"Crawley, West Sussex (UK)",51.11303,-0.18312
1438,11,25-Jul-17,Seen,Naked-eye,Partly_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1438,12,22-Aug-17,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1438,12,22-Aug-17,Not_seen,Naked-eye,Partly_Cloudy,"Darlaston, West Midlands (UK)",52.56667,-2.03333
1438,12,22-Aug-17,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"Dewsbury, West Yorkshire (UK)",53.69076,-1.62907
1438,12,22-Aug-17,Not_seen,Naked-eye,Totally_Cloudy,"Slough, Berkshire (UK)",51.50949,-0.59541
1438,12,23-Aug-17,Not_seen,Naked-eye,Partly_Cloudy,"Brighton, East Sussex (UK)",50.82838,-0.13947
1439,1,20-Sep-17,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1439,1,20-Sep-17,Not_seen,Naked-eye,Totally_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1439,1,20-Sep-17,Not_seen,Naked-eye_and/or_Telescope,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1439,1,21-Sep-17,Seen,Naked-eye_and/or_Binoculars,Clear,"Manchester, Greater Manchester (UK)",53.45,-2.23333
1439,2,20-Oct-17,Not_seen,Naked-eye,Partly_Cloudy,"Crawley, West Sussex (UK)",51.11303,-0.18312
1439,2,20-Oct-17,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Croydon, Greater London (UK)",51.38333,-0.1
1439,2,20-Oct-17,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1439,2,21-Oct-17,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1439,3,19-Nov-17,Not_seen,Naked-eye,Totally_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1439,3,19-Nov-17,Not_seen,Naked-eye,Partly_Cloudy,"Crawley, West Sussex (UK)",51.11303,-0.18312
1439,3,19-Nov-17,Seen,Binoculars,Partly_Cloudy,"Croydon, Greater London (UK)",51.38333,-0.1
1439,4,19-Dec-17,Not_seen,Naked-eye,Totally_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1439,4,19-Dec-17,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1439,4,19-Dec-17,Not_seen,Naked-eye,Totally_Cloudy,"Slough, Berkshire (UK)",51.50949,-0.59541
1439,4,19-Dec-17,Seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1439,5,18-Jan-18,Seen,Naked-eye,Clear,"Cradley Heath, West Midlands (UK)",52.47214,-2.08212
1439,6,17-Feb-18,Seen,Naked-eye,Partly_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1439,7,18-Mar-18,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1439,7,18-Mar-18,Not_seen,Naked-eye,Totally_Cloudy,"Cradley Heath, West Midlands (UK)",52.47214,-2.08212
1439,7,18-Mar-18,Not_seen,Naked-eye,Partly_Cloudy,"Rochdale, Greater Manchester (UK)",53.61766,-2.1552
1439,7,18-Mar-18,Not_seen,Naked-eye,Totally_Cloudy,"Slough, Berkshire (UK)",51.50949,-0.59541
1439,7,18-Mar-18,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1439,8,17-Apr-18,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1439,8,17-Apr-18,Not_seen,Naked-eye,Totally_Cloudy,"Cardiff, Wales (UK)",51.48,-3.18
1439,8,17-Apr-18,Not_seen,Naked-eye,Totally_Cloudy,"Coventry, West Midlands (UK)",52.40656,-1.51217
1439,8,17-Apr-18,Not_seen,Naked-eye,Totally_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1439,8,17-Apr-18,Seen,Naked-eye,Partly_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1439,9,16-May-18,Seen,Naked-eye,Partly_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1439,10,15-Jun-18,Seen,Naked-eye,Partly_Cloudy,"Ashbourne, Derbyshire (UK)",53.01667,-1.73333
1439,11,14-Jul-18,Seen,Naked-eye,Clear,"Chorley, Lancashire (UK)",53.65,-2.61667
1439,12,13-Aug-18,Seen,Naked-eye,Partly_Cloudy,"Batley, West Yorkshire (UK)",53.70291,-1.6337
1440,1,10-Sep-18,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1440,1,10-Sep-18,Not_seen,Naked-eye,Totally_Cloudy,"Cobo, Guernsey (UK)",49.47426,-2.59273
1440,1,10-Sep-18,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1440,1,10-Sep-18,Not_seen,Binoculars,Partly_Cloudy,"Morden, Greater London (UK)",51.39822,-0.19837
1440,1,10-Sep-18,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1440,1,10-Sep-18,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1440,2,10-Oct-18,Seen,Naked-eye,Clear,"Ashbourne, Derbyshire (UK)",53.01667,-1.73333
1440,3,08-Nov-18,Not_seen,Naked-eye,Totally_Cloudy,"Ashbourne, Derbyshire (UK)",53.01667,-1.73333
1440,3,08-Nov-18,Not_seen,Naked-eye,Partly_Cloudy,"Cradley Heath, West Midlands (UK)",52.47214,-2.08212
1440,3,08-Nov-18,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Croydon, Greater London (UK)",51.38333,-0.1
1440,3,08-Nov-18,Not_seen,Naked-eye,Partly_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1440,3,08-Nov-18,Not_seen,Naked-eye,Partly_Cloudy,"Slough, Berkshire (UK)",51.50949,-0.59541
1440,3,08-Nov-18,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1440,4,08-Dec-18,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1440,4,08-Dec-18,Not_seen,Naked-eye,Totally_Cloudy,"Cardiff, Wales (UK)",51.48,-3.18
1440,4,08-Dec-18,Not_seen,Naked-eye,Totally_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1440,4,08-Dec-18,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1440,5,06-Jan-19,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1440,5,06-Jan-19,Not_seen,Naked-eye,Totally_Cloudy,"Cradley Heath, West Midlands (UK)",52.47214,-2.08212
1440,5,06-Jan-19,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"Croydon, Greater London (UK)",51.38333,-0.1
1440,5,06-Jan-19,Not_seen,Naked-eye,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1440,5,07-Jan-19,Not_seen,Naked-eye,Totally_Cloudy,"Scunthorpe, North Lincolnshire (UK)",53.57905,-0.65437
1440,5,07-Jan-19,Not_seen,Naked-eye,Totally_Cloudy,"Stoke on Trent, Staffordshire (UK)",53.00415,-2.18538
1440,6,06-Feb-19,Seen,Naked-eye,Partly_Cloudy,"Dewsbury, West Yorkshire (UK)",53.69076,-1.62907
1440,7,07-Mar-19,Not_seen,Naked-eye,Totally_Cloudy,"Cradley Heath, West Midlands (UK)",52.47214,-2.08212
1440,7,07-Mar-19,Not_seen,Naked-eye_and/or_Binoculars_and/or_Telescope,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1440,8,06-Apr-19,Seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Blackburn, Lancashire (UK)",53.75,-2.48333
1440,9,05-May-19,Not_seen,Naked-eye_and/or_Telescope,Totally_Cloudy,"High Wycombe, Buckinghamshire (UK)",51.62907,-0.74934
1440,9,05-May-19,Not_seen,Naked-eye,Totally_Cloudy,"Aberdeen, Scotland (UK)",57.14369,-2.09814
1440,9,05-May-19,Not_seen,Naked-eye,Totally_Cloudy,"Batley, West Yorkshire (UK)",53.70291,-1.6337
1440,9,05-May-19,Not_seen,Naked-eye,Totally_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1440,9,05-May-19,Not_seen,Naked-eye,Totally_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1440,9,05-May-19,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Blackburn, Lancashire (UK)",53.75,-2.48333
1440,9,05-May-19,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1440,9,05-May-19,Not_seen,Naked-eye,Totally_Cloudy,"Crawley, West Sussex (UK)",51.11303,-0.18312
1440,9,05-May-19,Not_seen,Naked-eye,Totally_Cloudy,"Croydon, Greater London (UK)",51.38333,-0.1
1440,9,05-May-19,Not_seen,Naked-eye,Totally_Cloudy,"Hounslow, Greater London (UK)",51.46839,-0.36092
1440,9,05-May-19,Not_seen,Naked-eye,Partly_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1440,9,05-May-19,Not_seen,Naked-eye,Totally_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1440,9,05-May-19,Not_seen,Naked-eye,Partly_Cloudy,"Nuneaton, Warwickshire (UK)",52.52323,-1.46523
1440,9,05-May-19,Not_seen,Naked-eye,Partly_Cloudy,"Peterborough, Cambridgeshire (UK)",52.57364,-0.24777
1440,9,05-May-19,Not_seen,Naked-eye,Partly_Cloudy,"Sheffield, South Yorkshire (UK)",53.38297,-1.4659
1440,9,05-May-19,Not_seen,Naked-eye_and/or_Binoculars_and/or_Telescope,Partly_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1440,9,06-May-19,Seen,Naked-eye,Partly_Cloudy,"Aberdeen, Scotland (UK)",57.14369,-2.09814
1440,10,04-Jun-19,Not_seen,Naked-eye,Partly_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1440,10,04-Jun-19,Not_seen,Naked-eye,Partly_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1440,10,04-Jun-19,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"Blackburn, Lancashire (UK)",53.75,-2.48333
1440,10,04-Jun-19,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1440,10,04-Jun-19,Not_seen,Naked-eye,Totally_Cloudy,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1440,10,04-Jun-19,Seen,Naked-eye,Partly_Cloudy,"Crawley, West Sussex (UK)",51.11303,-0.18312
1440,11,04-Jul-19,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"Blackburn, Lancashire (UK)",53.75,-2.48333
1440,11,04-Jul-19,Seen,Naked-eye,Partly_Cloudy,"Crawley, West Sussex (UK)",51.11303,-0.18312
1440,12,02-Aug-19,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"Bedford, Bedfordshire (UK)",52.13459,-0.46632
1440,12,02-Aug-19,Seen,Naked-eye,Partly_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1441,1,31-Aug-19,Seen,Naked-eye,Partly_Cloudy,"Birmingham, West Midlands (UK)",52.48142,-1.89983
1441,2,29-Sep-19,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Blackpool, Lancashire (UK)",53.81667,-3.05
1441,2,29-Sep-19,Not_seen,Naked-eye_and/or_Binoculars,Clear,"Bolton, Greater Manchester (UK)",53.58333,-2.43333
1441,2,29-Sep-19,Not_seen,Binoculars,Clear,"Cardiff, Wales (UK)",51.48,-3.18
1441,2,29-Sep-19,Not_seen,Naked-eye,Partly_Cloudy,"Cradley Heath, West Midlands (UK)",52.47214,-2.08212
1441,2,29-Sep-19,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Huddersfield, West Yorkshire (UK)",53.64904,-1.78416
1441,2,29-Sep-19,Not_seen,Naked-eye,Partly_Cloudy,"Huddersfield, West Yorkshire (UK)",53.64904,-1.78416
1441,2,29-Sep-19,Not_seen,Naked-eye,Totally_Cloudy,"Leicester, Leicestershire (UK)",52.6386,-1.13169
1441,2,29-Sep-19,Not_seen,Naked-eye,Totally_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1441,2,29-Sep-19,Not_seen,Naked-eye,Totally_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1441,2,29-Sep-19,Seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Southport, Merseyside (UK)",53.64581,-3.01008
1441,3,29-Oct-19,Seen,Naked-eye,Partly_Cloudy,"Blackburn, Lancashire (UK)",53.75,-2.48333
1441,4,27-Nov-19,Not_seen,Naked-eye,Totally_Cloudy,"Cradley Heath, West Midlands (UK)",52.47214,-2.08212
1441,4,27-Nov-19,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1441,4,27-Nov-19,Not_seen,Naked-eye,Totally_Cloudy,"Southampton, Hampshire (UK)",50.90395,-1.40428
1441,4,27-Nov-19,Not_seen,Naked-eye_and/or_Binoculars,Partly_Cloudy,"Southampton, Hampshire (UK)",50.90395,-1.40428
1441,4,27-Nov-19,Not_seen,Naked-eye,Totally_Cloudy,"Surbiton, Greater London (UK)",51.39148,-0.29825
1441,5,26-Dec-19,Not_seen,Naked-eye,Totally_Cloudy,"Edinburgh, Scotland (UK)",55.95206,-3.19648
1441,5,26-Dec-19,Not_seen,Naked-eye,Totally_Cloudy,"Huddersfield, West Yorkshire (UK)",53.64904,-1.78416
1441,5,26-Dec-19,Not_seen,Naked-eye,Totally_Cloudy,"Southampton, Hampshire (UK)",50.90395,-1.40428
1441,5,26-Dec-19,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1441,5,27-Dec-19,Not_seen,Naked-eye,Totally_Cloudy,"Edinburgh, Scotland (UK)",55.95206,-3.19648
1441,5,27-Dec-19,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"London, Greater London (UK)",51.50853,-0.12574
1441,5,27-Dec-19,Not_seen,Naked-eye,Totally_Cloudy,"Sheffield, South Yorkshire (UK)",53.38297,-1.4659
1441,5,27-Dec-19,Not_seen,Naked-eye,Totally_Cloudy,"Southampton, Hampshire (UK)",50.90395,-1.40428
1441,5,27-Dec-19,Not_seen,Naked-eye_and/or_Binoculars,Totally_Cloudy,"St Agnes, Cornwall (UK)",49.89087,-6.34426
1441,5,27-Dec-19,Not_seen,Naked-eye,Totally_Cloudy,"St Agnes, Cornwall (UK)",49.89087,-6.34426
1441,5,27-Dec-19,Not_seen,Naked-eye,Totally_Cloudy,"York, North Yorkshire (UK)",53.95763,-1.08271
1441,6,25-Jan-20,Not_seen,Naked-eye,Partly_Cloudy,"Belfast, Northern Ireland (UK)",54.59682,-5.92541
1441,6,25-Jan-20,Not_seen,Naked-eye,Totally_Cloudy,"Blackburn, Lancashire (UK)",53.75,-2.48333
1441,6,25-Jan-20,Not_seen,Naked-eye,Totally_Cloudy,"Cradley Heath, West Midlands (UK)",52.47214,-2.08212
1441,6,25-Jan-20,Not_seen,Naked-eye,Totally_Cloudy,"Edinburgh, Scotland (UK)",55.95206,-3.19648
1441,6,25-Jan-20,Not_seen,Naked-eye,Totally_Cloudy,"Helston, Cornwall (UK)",50.10319,-5.27045
