Lat.,Long.,Date, Age, Lag, ARCV, ARCL, DAZ,Means
27.52,41.7, 2001/11/16,31.68,64,12.39,16.21,10.53, N
24.6,46.45, 2002/01/14,24.96,48,9.53,11.51,6.49, N
27.52,41.7, 2002/02/13,31.37,61,12.52,14.34,7.06, N
26.35,43.95, 2002/10/07,27.45,57,12.26,16,10.36, N
27.52,41.7, 2002/11/05,17.88,36,7.41,9.9,6.58, T
26.35,43.95, 2003/02/02,28.16,59,11.85,14.08,7.66, N
27.52,41.7, 2003/02/02,28.13,59,11.74,14.14,7.94, N
21.42,39.83, 2003/02/02,28.17,60,12.86,14.22,6.5, N
28.4,36.7, 2003/02/02,28.16,60,11.76,14.29,8.19, N
24.6,46.45, 2003/02/02,28.13,59,12.03,14.01,7.23, N
28.4,36.73, 2003/08/28,22.55,49,10.52,12.36,6.52, T
27.52,41.7, 2003/09/27,35.93,65,13.79,20.04,14.68, N
21.42,39.83, 2003/09/27,36.06,68,15.3,20.3,13.12, N
26.35,43.95, 2003/09/27,35.78,65,14.04,19.94,14.31, N
28.4,36.73, 2003/09/27,36.26,65,13.67,20.23,15.07, N
27.52,41.7, 2003/10/26,25.74,46,9.39,14.55,11.17, T
28.4,36.73, 2003/12/24,28.99,65,11.48,16.86,12.43, N
21.42,39.83, 2003/12/24,29.03,68,13.05,16.81,10.68, N
26.35,43.95, 2003/12/24,28.59,65,11.76,16.61,11.81, N
24.6,46.45, 2004/01/23,41.46,103,20.37,22.79,10.45, N
27.52,41.7, 2004/01/23,41.69,104,19.89,22.93,11.66, N
26.35,43.95, 2004/01/23,41.58,103,20.08,22.87,11.18, N
28.4,36.73, 2004/01/23,42,105,19.85,23.1,12.06, N
21.42,39.83, 2004/05/20,35.04,75,15.35,15.35,0.08, N
24.54,39.63, 2004/06/18,19.76,46,9.07,9.07,0.16, T
21.42,39.83, 2004/06/19,43.64,61,12.25,19.56,4.11, N
24.6,46.45, 2004/06/19,43.31,95,18.86,19.42,4.73, N
27.52,41.7, 2004/08/17,38.42,67,14.49,18.38,11.43, N
28.4,36.73, 2004/09/15,25.15,41,8.91,9.05,1.56, T
21.42,39.83, 2004/09/16,48.92,78,17.63,21.03,11.66, N
28.4,36.73, 2005/01/11,26.88,67,12.19,16.11,10.61, N
24.54,39.63, 2005/02/09,16.74,40,8.39,9.88,5.22, T
21.42,39.83, 2005/08/06,21.19,64,14.3,16.36,8.03, N
24.6,46.45, 2005/08/06,20.83,63,13.69,16.22,8.79, N
26.35,43.95, 2005/08/06,21.04,63,13.46,16.33,9.33, N
24.54,39.63, 2005/09/05,44.34,61,13.76,13.77,0.4, N
26.35,43.95, 2005/11/03,37.33,51,9.65,18.9,16.33, N
27.52,41.7, 2005/11/03,37.45,50,9.34,18.98,16.59, N
21.42,39.83, 2006/01/01,48.59,89,17.09,20.33,11.19, N
24.54,39.63, 2006/01/01,48.5,88,16.34,20.31,12.23, N
24.54,39.63, 2006/02/28,14.88,36,7.91,8.11,1.81, T
28.4,36.73, 2006/07/26,35.94,64,13.33,16.44,9.7, N
26.35,43.95, 2006/12/21,24.27,43,7.83,12.81,10.17, T
27.52,41.7, 2006/12/22,48.38,108,18.71,24.82,16.62, N
21.42,39.83, 2007/08/14,40.83,60,13.81,19.35,13.69, N
28.4,36.73, 2008/08/02,29.81,47,10.02,16.07,12.63, N
27.52,41.7, 2008/12/29,50.43,102,19,21.89,11.09, N
24.54,39.63, 2009/01/27,31.14,65,13.56,13.64,1.53, N
26.35,43.95, 2009/01/27,30.8,65,13.34,13.49,2, N
27.52,41.7, 2009/01/27,30.92,66,13.35,13.55,2.32, N
27.52,41.7, 2009/04/26,36.36,101,19.88,19.93,1.41, N
24.6,46.45, 2009/07/23,37.14,66,14.62,21.36,15.74, N
26.35,43.95, 2009/07/23,37.36,65,14.18,21.51,16.34, N
24.6,46.45, 2009/08/21,29.36,36,8.18,14.67,12.22, T
26.35,43.95, 2009/10/19,32.99,35,6.99,17.47,16.05, T
26.35,43.95, 2009/11/18,42.85,70,12.74,20.57,16.28, N
25.62,45.62, 2009/11/18,42.88,70,12.92,20.52,16.07, N
25.62,45.62, 2009/12/17,26.13,48,9.09,11.5,7.07, T
25.25,45.25, 2009/12/17,26.17,48,9.16,11.51,7.01, T
28.4,36.73, 2010/04/15,27.49,65,13.21,13.51,2.85, N
24.54,39.63, 2010/04/15,27.24,61,12.85,13.4,3.84, N
24.54,39.63, 2010/06/13,28.94,68,13.87,15.22,6.34, N
26.35,43.95, 2010/06/13,28.72,67,13.53,15.11,6.79, N
28.4,36.73, 2010/06/13,29.28,68,13.5,15.44,7.55, N
25.25,45.25, 2010/06/13,28.59,67,13.61,15.03,6.44, N
28.4,36.73, 2010/08/11,37.13,48,10.37,18.98,15.99, T
26.37,49.82, 2010/08/11,36.21,48,10.74,19.3,16.13, N
24.39,39.63, 2010/10/09,44.27,65,13.08,25.29,21.83, N
24.6,46.45, 2010/10/09,43.82,63,12.83,25.04,21.69, N
26.35,43.95, 2010/10/09,43.97,61,12.23,25.15,22.14, N
25.25,45.25, 2010/10/09,43.89,63,12.62,25.09,21.87, N
26.37,49.82, 2010/10/09,43.58,61,12.08,24.93,21.98, N
25.62,45.62, 2010/10/09,43.86,62,12.47,25.08,21.94, N
27.52,41.7, 2010/11/07,33.57,53,10.06,18.09,15.11, T
21.42,39.83, 2010/11/07,33.83,59,11.77,18.15,13.92, N
24.39,39.63, 2010/11/07,33.78,56,10.99,18.16,14.55, N
24.6,46.45, 2010/11/07,33.32,55,10.74,17.92,14.44, N
26.35,43.95, 2010/11/07,33.44,54,10.32,18.01,14.84, T
25.25,45.25, 2010/11/07,33.38,54,10.59,17.97,14.59, T
24.39,39.63, 2010/12/06,20.51,40,7.87,10.2,6.5, T
24.6,46.45, 2010/12/06,20.05,39,7.64,9.97,6.42, T
25.62,45.62, 2010/12/06,20.07,39,7.52,9.99,6.59, T
24.39,39.63, 2011/01/05,29.28,67,13.5,13.75,2.67, N
24.6,46.45, 2011/01/05,29.82,66,13.27,13.54,2.68, N
24.39,39.63, 2011/04/04,24.8,50,10.7,11.43,4.04, T
21.42,39.83, 2011/05/04,32.74,70,14.74,14.76,0.79, N
24.39,39.63, 2011/05/04,32.82,72,14.8,14.8,0.09, N
27.52,41.7, 2011/05/04,32.76,74,14.74,14.77,1, N
21.42,39.83, 2011/07/02,31.46,56,12.1,15.96,10.48, N
24.39,39.63, 2011/07/02,31.57,54,11.53,16.05,11.24, N
24.6,46.45, 2011/07/02,31.12,53,11.3,15.82,11.14, N
28.4,36.73, 2011/07/02,31.91,52,10.76,16.28,12.29, T
25.62,45.62, 2011/07/02,31.22,53,11.12,15.88,11.41, N
26.37,49.82, 2011/08/30,35.99,41,9.07,9.22,1.7, T
24.6,46.45, 2011/09/28,27.6,32,6.98,16.55,15.04, T
21.42,39.83, 2011/10/28,48.86,84,16.9,24.63,18.19, N
24.39,39.63, 2011/10/28,48.82,82,15.9,24.64,19.07, N
24.6,46.45, 2011/10/28,48.36,80,15.63,24.38,18.95, N
28.4,36.73, 2011/10/28,48.94,78,14.56,24.75,20.24, N
25.25,45.25, 2011/10/28,48.43,80,15.44,24.42,19.16, N
25.62,45.62, 2011/10/28,48.4,79,15.3,24.41,19.25, N
26.37,49.82, 2011/10/28,48.1,78,14.93,24.25,19.34, N
24.6,46.45, 2011/11/26,31.92,73,4.12,17.56,10.55, N
28.4,36.73, 2011/11/26,32.45,74,13.57,17.9,11.78, N
25.25,45.25, 2011/11/26,31.98,73,14.02,17.6,10.75, N
25.62,45.62, 2011/11/26,31.95,73,13.93,17.59,10.84, N
24.39,39.63, 2011/12/25,20.57,52,10.49,10.73,2.29, T
24.6,46.45, 2011/12/25,20.1,51,10.24,10.48,2.25, T
26.35,43.95, 2011/12/25,20.21,52,10.21,10.55,2.65, T
28.4,36.73, 2011/12/25,20.61,54,10.3,10.77,3.18, T
25.25,45.25, 2011/12/25,20.16,51,10.24,10.52,2.4, T
25.62,45.62, 2011/12/25,20.12,51,10.21,10.5,2.48, T
21.42,39.83, 2012/01/24,31.43,72,15.8,15.97,2.33, N
24.6,46.45, 2012/01/24,30.9,74,15.64,15.7,1.36, N
25.25,45.25, 2012/01/24,30.96,74,15.69,15.73,1.15, N
25.62,45.62, 2012/01/24,30.93,75,15.68,15.72,1.04, N
24.39,39.63, 2012/04/22,32.47,66,13.9,13.9,0.26, N
21.42,39.83, 2012/07/20,35.68,48,10.74,17.87,14.36, N
24.6,46.45, 2012/07/20,35.33,44,9.74,17.74,14.9, N
24.39,39.63, 2012/07/20,35.78,45,9.96,17.95,15.01, N
26.35,43.95, 2012/07/20,35.56,43,9.32,17.87,15.31, T
25.62,45.62, 2012/07/20,35.42,43,9.49,17.8,15.13, T
21.42,39.83, 2012/09/17,37.18,50,11.25,16.73,12.46, N
24.6,46.45, 2012/09/17,36.75,46,10.12,16.17,12.68, N
26.35,43.95, 2012/09/17,36.92,45,9.64,16.1,12.95, T
25.25,45.25, 2012/09/17,36.83,46,9.95,16.15,12.79, T
26.37,49.82, 2012/09/17,36.53,44,9.49,15.86,12.77, T
25.62,45.62, 2012/09/17,36.81,45,9.83,16.1,12.82, T
24.6,46.45, 2012/10/16,26.4,40,8.49,14.85,12.23, T
26.35,43.95, 2012/10/16,26.54,39,8.17,14.95,12.57, T
25.25,45.25, 2012/10/16,26.47,40,8.38,14.9,12.36, T
25.62,45.62, 2012/10/16,26.44,40,8.28,14.89,12.41, T
21.42,39.83, 2012/11/15,39.51,97,19.33,23.26,13.19, N
24.39,39.63, 2012/11/15,39.45,96,18.55,23.25,14.27, N
24.6,46.45, 2012/11/15,38.99,95,18.28,22.98,14.18, N
26.35,43.95, 2012/11/15,39.11,95,17.87,23.07,14.84, N
27.52,41.7, 2012/11/15,39.22,95,17.6,23.15,15.29, N
28.4,36.73, 2012/11/15,39.53,95,17.48,23.34,15.71, N
25.25,45.25, 2012/11/15,39.05,95,18.14,23.03,14.43, N
25.62,45.62, 2012/11/15,39.02,95,18.03,23.01,14.55, N
26.37,49.82, 2012/11/15,38.71,93,17.68,22.84,14.7, N
21.42,39.83, 2012/12/14,29.99,82,16.65,17.23,4.51, N
24.39,39.63, 2012/12/14,29.9,82,16.31,17.19,5.5, N
24.6,46.45, 2012/12/14,29.44,81,16.05,16.92,5.46, N
26.35,43.95, 2012/12/14,29.54,82,15.9,16.99,6.06, N
27.52,41.7, 2012/12/14,29.65,83,15.82,17.07,6.48, N
25.25,45.25, 2012/12/14,29.5,82,16,16.96,5.69, N
25.62,45.62, 2012/12/14,29.46,82,15.94,16.94,5.8, N
26.35,43.95, 2013/01/12,18.8,53,10.93,10.98,1.07, T
25.62,45.62, 2013/01/12,18.71,53,10.87,10.94,1.25, T
26.37,49.82, 2013/01/12,18.41,52,10.71,10.77,1.13, T
21.42,39.83, 2013/02/11,31.94,75,16.72,17.2,4.1, N
24.39,39.63, 2013/02/11,31.9,77,16.89,17.17,3.13, N
28.4,36.73, 2013/02/11,32.01,81,17.13,17.22,1.79, N
25.25,45.25, 2013/02/11,31.51,77,16.72,16.96,2.88, N
25.62,45.62, 2013/02/11,31.47,77,16.73,16.95,2.76, N
26.37,49.82, 2013/02/11,31.18,77,16.61,16.79,2.54, N
21.42,39.83, 2013/04/11,30.06,62,13.61,13.65,1.02, N
21.42,39.83, 2013/10/06,38.52,61,13.24,19.63,14.63, N
24.39,39.63, 2013/10/06,38.48,59,12.46,19.66,15.33, N
26.35,43.95, 2013/10/06,38.92,60,11.82,19.52,15.65, N
27.52,41.7, 2013/10/06,38.31,56,11.55,19.61,15.95, N
25.25,45.25, 2013/10/06,38.4,57,12.09,19.47,15.38, N
25.62,45.62, 2013/10/06,38.4,57,11.98,19.46,15.45, N
26.37,49.82, 2013/10/06,38.29,56,11.67,19.32,15.5, N
21.42,39.83, 2013/11/04,25.88,54,11.25,13.74,7.93, N
24.39,39.63, 2013/11/04,25.83,52,10.79,13.74,8.56, T
24.72,46.67, 2013/11/04,25.35,51,10.53,13.47,8.46, T
25.25,45.25, 2013/11/04,25.35,51,10.48,13.52,8.6, T
24.39,39.63, 2013/12/03,14.18,39,7.92,8.1,1.62, T
21.42,39.83, 2014/01/02,27.62,78,16.34,16.34,0.22, N
24.39,39.63, 2014/01/02,27.5,79,16.25,16.29,1.2, N
24.72,46.67, 2014/01/02,27.03,78,15.97,16.02,1.21, N
26.35,43.95, 2014/01/02,27.04,80,15.99,16.09,1.78, N
27.52,41.7, 2014/01/02,27.58,81,16.01,16.16,2.2, N
28.4,36.73, 2014/01/02,27.58,83,16.13,16.33,2.56, N
25.25,45.25, 2014/01/02,27.02,79,16,16.06,1.41, N
25.62,45.62, 2014/01/02,27.02,79,15.97,16.04,1.52, N
26.37,49.82, 2014/01/02,27.58,79,15.78,15.87,1.7, N
24.39,39.63, 2014/01/31,17.46,47,10.13,10.56,3.01, T
24.72,46.67, 2014/01/31,16.99,46,9.87,10.31,3, T
26.35,43.95, 2014/01/31,17.13,47,10.04,10.38,2.65, T
25.25,45.25, 2014/01/31,17.07,46,9.95,10.35,2.88, T
25.62,45.62, 2014/01/31,17.03,47,9.95,10.33,2.81, T
21.42,39.83, 2014/03/02,31.42,75,16.99,17.23,2.94, N
24.72,46.67, 2014/03/02,30.93,77,16.86,16.96,1.9, N
26.35,43.95, 2014/03/02,30.94,78,16.99,17.05,1.37, N
25.25,45.25, 2014/03/02,30.94,77,16.92,17.01,1.73, N
25.62,45.62, 2014/03/02,30.94,78,16.92,16.99,1.61, N
26.37,49.82, 2014/03/02,31.14,77,16.78,16.83,1.39, N
21.42,39.83, 2014/03/31,20.84,46,10.42,10.46,0.89, T
24.39,39.63, 2014/03/31,20.87,48,10.47,10.48,0.3, T
21.42,39.83, 2014/04/30,33.52,73,15.91,16.37,3.91, N
24.39,39.63, 2014/04/30,33.6,74,15.71,16.42,4.83, N
28.4,36.73, 2014/04/30,33.88,75,15.45,16.58,6.1, N
25.25,45.25, 2014/04/30,33.24,73,15.46,16.24,5.05, N
25.62,45.62, 2014/04/30,33.23,73,15.41,16.23,5.16, N
21.42,39.83, 2014/05/29,21.3,38,8.11,10.37,6.48, T
24.72,46.67, 2014/05/29,20.95,36,7.54,10.25,6.97, T
27.52,41.7, 2014/05/29,21.37,36,7.33,10.47,7.5, T
25.62,45.62, 2014/05/29,21.05,36,7.46,10.3,7.13, T
26.37,49.82, 2014/05/29,20.79,35,7.24,10.2,7.2, T
26.35,43.95, 2014/07/28,41.35,46,9.94,18.71,15.93, T
21.42,39.83, 2014/09/25,33.01,44,10.01,14.9,11.1, N
24.72,46.67, 2014/09/25,32.55,42,9.2,14.72,11.55, T
26.35,43.95, 2014/09/25,32.73,41,8.93,14.83,11.89, T
27.52,41.7, 2014/09/25,32.88,41,8.73,14.91,12.13, T
28.4,36.73, 2014/09/25,33.21,41,8.66,15.08,12.39, T
25.62,45.62, 2014/09/25,32.62,41,9.04,14.77,11.72, N
26.35,43.95, 2014/11/23,25.67,62,12.31,13.41,5.36, N
27.52,41.7, 2014/11/23,25.81,62,12.23,13.47,5.69, N
21.42,39.83, 2014/12/23,37.15,98,20.37,20.63,3.35, N
24.72,46.67, 2014/12/23,36.58,99,19.83,20.33,4.6, N
26.35,43.95, 2014/12/23,36.7,101,19.73,20.4,5.31, N
27.52,41.7, 2014/12/23,36.81,101,19.66,20.47,5.82, N
28.4,36.73, 2014/12/23,37.11,103,19.7,20.64,6.27, N
25.25,45.25, 2014/12/23,36.65,100,19.82,20.37,4.84, N
25.62,45.62, 2014/12/23,36.62,100,19.76,20.36,4.98, N
26.37,49.82, 2014/12/23,36.31,100,19.53,20.19,5.2, N
21.42,39.83, 2015/01/21,25.83,68,14.74,14.83,1.61, N
24.72,46.67, 2015/01/21,25.28,69,14.5,14.52,0.72, N
26.35,43.95, 2015/01/21,25.41,71,14.59,14.59,0.21, N
27.52,41.7, 2015/01/21,25.52,72,14.65,14.65,0.16, N
28.4,36.73, 2015/01/21,25.83,73,14.82,14.83,0.48, N
25.25,45.25, 2015/01/21,25.36,70,14.55,14.56,0.55, N
25.62,45.62, 2015/01/21,25.32,70,14.53,14.54,0.44, N
26.37,49.82, 2015/01/21,25.02,70,14.37,14.37,0.28, N
28.4,36.73, 2015/02/19,15.65,41,8.73,8.82,1.3, T
21.42,39.83, 2015/03/21,29.93,74,16.7,16.7,0.16, N
27.52,41.7, 2015/03/21,29.81,77,16.51,16.52,0.57, N
28.4,36.73, 2015/03/21,30.14,79,16.67,16.69,0.83, N
21.42,39.83, 2015/05/19,35.67,79,17.11,19.05,8.51, N
24.39,39.63, 2015/05/19,35.77,79,16.66,19.12,9.53, N
24.72,46.67, 2015/05/19,35.31,77,16.37,18.89,9.56, N
26.35,43.95, 2015/05/19,35.54,78,16.18,19.02,10.14, N
25.25,45.25, 2015/05/19,35.42,78,16.33,18.95,9.75, N
25.62,45.62, 2015/05/19,35.41,77,16.25,18.94,9.87, N
26.37,49.82, 2015/05/19,35.15,77,15.99,18.82,10.07, N
24.39,39.63, 2015/06/17,26.11,42,8.99,13.72,10.41, T
26.35,43.95, 2015/06/17,25.89,41,8.49,13.64,10.72, T
27.52,41.7, 2015/06/17,26.09,40,8.32,13.75,10.98, T
26.37,49.82, 2015/06/17,25.5,39,8.31,13.46,10.63, T
21.42,39.83, 2015/09/14,32.73,44,9.95,10.19,2.23, T
26.37,49.82, 2015/09/14,32.09,40,8.83,9.16,2.43, T
21.42,39.83, 2015/11/13,44.87,91,18.97,21.05,9.31, N
24.72,46.67, 2015/11/13,44.33,90,18.16,20.82,10.35, N
26.35,43.95, 2015/11/13,44.47,91,17.89,20.9,10.97, N
27.52,41.7, 2015/11/13,44.59,90,17.7,20.96,11.42, N
28.4,36.73, 2015/11/13,44.9,91,17.62,21.11,11.83, N
25.62,45.62, 2015/11/13,44.38,90,18.01,20.85,10.68, N
26.37,49.82, 2015/11/13,44.08,90,17.75,20.71,10.85, N
26.37,49.82, 2015/11/13,44.08,90,17.75,20.71,10.85, N
23.56,46.39, 1988/03/18,13.04,30,6.7,6.71,0.35,Not_seen
19.15,42.22, 1988/04/16,3.49,4,1.01,3.28,3.12,Not_seen
23.56,46.39, 1988/04/16,3.27,5,1.14,3.17,2.96,Not_seen
28.4,36.73, 1990/02/25,6.6,14,3.01,3.45,1.69,Not_seen
28.4,36.73, 1990/04/25,11.61,34,6.83,7.77,3.73,Not_seen
26.45,36.38, 1991/05/14,11.63,33,6.64,6.99,2.2,Not_seen
28.4,36.73, 1992/06/01,4.13,30,5.95,6.18,1.71,Not_seen
21.42,39.83, 1993/12/13,5.22,12,2.59,2.63,0.45,Not_seen
28.4,36.73, 1993/02/21,2.38,4,0.87,4.71,4.63,Not_seen
21.42,39.83, 1993/12/13,5.22,12,2.59,2.63,0.45,Not_seen
28.4,36.73, 1993/02/21,2.38,4,0.87,4.71,4.63,Not_seen
21.42,39.83, 1993/12/13,5.22,12,2.59,2.63,0.45,Not_seen
24.6,46.45, 1998/10/20,4.23,16,3.6,3.95,1.62,Not_seen
26.35,43.95, 1999/10/09,3.14,16,3.66,4.13,1.9,Not_seen
24.6,46.45, 2000/03/06,20.79,18,3.92,5.62,4.03,Not_seen
21.42,39.83, 2000/09/27,19.32,3,0.71,1.86,1.72,Not_seen
28.4,36.73, 2001/02/23,7.13,9,1.88,4.88,4.5,Not_seen
21.42,39.83, 2001/06/21,4.13,5,1.15,1.71,1.26,Not_seen
24.6,46.45, 2001/10/16,19.06,2,0.64,5.33,5.29,Not_seen
27.52,41.7, 2001/11/15,7.69,19,3.97,4.08,0.93,Not_seen
27.52,41.7, 2002/02/12,7.36,8,1.8,5.22,4.9,Not_seen
26.35,43.95, 2002/10/06,3.47,16,3.65,3.83,1.13,Not_seen
26.35,43.95, 2003/02/01,12.2,0,0.22,5,5,Not_seen
21.42,39.83, 2003/02/01,12.59,4,0.86,4.98,4.91,Not_seen
28.4,36.73, 2003/02/01,12.62,1,0.24,5.09,5.09,Not_seen
24.6,46.45, 2003/02/01,12.07,1,0.32,4.96,4.95,Not_seen
28.4,36.73, 2003/08/27,22.57,12,2.51,4.53,3.77,Not_seen
27.52,41.7, 2003/09/26,11.95,27,6.08,6.83,3.12,Not_seen
21.42,39.83, 2003/09/26,12.08,28,6.43,6.86,2.42,Not_seen
26.35,43.95, 2003/09/26,11.8,27,6.1,6.75,2.91,Not_seen
28.4,36.73, 2003/09/26,12.28,28,6.14,7.01,3.38,Not_seen
27.52,41.7, 2003/10/25,1.76,4,1.04,1.09,0.3,Not_seen
21.42,39.83, 2003/12/23,5.02,2,0.51,4.49,4.46,Not_seen
21.42,39.83, 2004/05/19,11.03,21,4.48,4.6,1.07,Not_seen
28.4,36.73, 2004/09/14,1.17,9,2.15,2.68,1.6,Not_seen
21.42,39.83, 2005/08/05,21.2,29,6.33,6.35,0.45,Not_seen
24.6,46.45, 2005/08/05,20.84,29,6.18,6.22,0.75,Not_seen
26.35,43.95, 2005/08/05,21.05,30,6.21,6.3,1.05,Not_seen
26.35,43.95, 2005/11/02,23.34,8,1.72,6.93,6.72,Not_seen
27.52,41.7, 2005/11/02,23.47,7,1.62,7.01,6.82,Not_seen
21.42,39.83, 2005/12/31,11.63,19,3.88,7.86,6.83,Not_seen
24.54,39.63, 2005/12/31,11.54,18,3.42,7.86,7.08,Not_seen
28.4,36.73, 2006/07/25,11.95,29,5.89,6,1.16,Not_seen
21.42,39.83, 2007/08/13,16.84,26,5.94,7.69,4.89,Not_seen
28.4,36.73, 2008/08/01,20.42,8,1.91,2.86,2.12,Not_seen
24.54,39.63, 2009/01/26,7.12,11,2.39,2.46,0.56,Not_seen
26.35,43.95, 2009/01/26,6.79,11,2.22,2.31,0.65,Not_seen
27.52,41.7, 2009/01/26,6.9,11,2.26,2.37,0.72,Not_seen
27.52,41.7, 2009/04/25,12.35,33,6.67,7.7,3.85,Not_seen
24.6,46.45, 2009/07/22,13.15,22,4.78,7.23,5.43,Not_seen
26.35,43.95, 2009/07/22,13.37,22,4.68,7.38,5.71,Not_seen
26.35,43.95, 2009/11/17,19,18,3.61,9.73,9.04,Not_seen
25.62,45.62, 2009/11/17,18.91,19,3.7,9.68,8.96,Not_seen
28.4,36.73, 2010/04/14,3.49,7,1.49,4.91,4.68,Not_seen
24.54,39.63, 2010/04/14,3.24,4,1.04,4.95,4.84,Not_seen
24.54,39.63, 2010/06/12,4.93,11,2.28,2.31,0.39,Not_seen
26.35,43.95, 2010/06/12,4.71,11,2.19,2.21,0.34,Not_seen
28.4,36.73, 2010/06/12,5.27,12,2.45,2.46,0.05,Not_seen
25.25,45.25, 2010/06/12,4.58,10,2.12,2.16,0.44,Not_seen
28.4,36.73, 2010/08/10,13.15,7,1.74,8.36,8.18,Not_seen
26.37,49.82, 2010/08/10,12.23,78,1.69,7.85,7.66,Not_seen
24.39,39.63, 2010/10/08,20.29,17,3.69,12.4,11.84,Not_seen
24.6,46.45, 2010/10/08,19.83,16,3.47,12.17,11.67,Not_seen
26.35,43.95, 2010/10/08,19.99,14,3.17,12.27,11.86,Not_seen
25.25,45.25, 2010/10/08,19.91,15,3.37,12.21,11.75,Not_seen
26.37,49.82, 2010/10/08,19.6,14,3.02,12.07,11.69,Not_seen
25.62,45.62, 2010/10/08,19.88,15,3.28,12.21,11.76,Not_seen
27.52,41.7, 2010/11/06,9.58,1,0.29,6.32,6.31,Not_seen
21.42,39.83, 2010/11/06,9.84,5,1.11,6.33,6.23,Not_seen
24.39,39.63, 2010/11/06,9.79,3,0.74,6.35,6.31,Not_seen
24.6,46.45, 2010/11/06,9.33,2,0.52,6.18,6.16,Not_seen
26.35,43.95, 2010/11/06,9.45,1,0.37,6.25,6.24,Not_seen
25.25,45.25, 2010/11/06,9.39,2,0.47,6.21,6.2,Not_seen
24.39,39.63, 2011/01/04,12.27,11,2.23,2.24,0.23,Not_seen
24.6,46.45, 2011/01/04,11.8,9,2.01,2.03,0.28,Not_seen
21.42,39.83, 2011/05/03,18.74,17,3.58,4.5,2.74,Not_seen
24.39,39.63, 2011/05/03,18.82,18,3.75,4.5,2.49,Not_seen
27.52,41.7, 2011/05/03,18.75,19,3.86,4.46,2.23,Not_seen
21.42,39.83, 2011/07/01,21.45,7,1.63,3.71,3.34,Not_seen
24.39,39.63, 2011/07/01,21.57,7,1.48,3.81,3.51,Not_seen
24.6,46.45, 2011/07/01,21.12,6,1.28,3.61,3.38,Not_seen
28.4,36.73, 2011/07/01,21.91,6,1.34,4.02,3.8,Not_seen
25.62,45.62, 2011/07/01,21.22,6,1.25,3.67,3.45,Not_seen
21.42,39.83, 2011/10/27,18.87,27,5.79,11,9.37,Not_seen
24.39,39.63, 2011/10/27,18.83,25,5.26,11.01,9.69,Not_seen
24.6,46.45, 2011/10/27,18.37,24,5.02,10.76,9.53,Not_seen
28.4,36.73, 2011/10/27,18.95,23,4.6,11.13,10.15,Not_seen
25.25,45.25, 2011/10/27,18.44,24,4.94,10.81,9.63,Not_seen
25.62,45.62, 2011/10/27,18.41,23,4.86,10.8,9.65,Not_seen
26.37,49.82, 2011/10/27,18.12,22,4.6,10.65,9.61,Not_seen
21.42,39.83, 2011/11/25,8.46,13,2.89,4.31,3.2,Not_seen
24.39,39.63, 2011/11/25,8.39,13,2.66,4.3,3.38,Not_seen
24.6,46.45, 2011/11/25,7.92,11,2.42,4.06,3.26,Not_seen
