No,Y,M,D,M/E,JD,Lat,Long,ARCL,ARCV,DAZ,Age,Lag,?,W',q,Visibility,Prediction
32,1866,4,16,E,2706.795,38,23.7,20.7,18.2,9.9,34.6,93,61.2,1.1,1.245,V,V
66,1878,6,2,E,7136.575,38,23.7,21,18.2,10.5,40.7,105.4,57.4,1,1.232,V,V
282,1990,11,19,E,48212.878,39,-76.8,27.9,15,23.6,61.4,87,54,1.7,1.231,V,V
244,1989,7,5,E,47710.708,37.4,-121.6,24.3,16.5,17.9,47.2,89.4,56.6,1.4,1.221,V,V
63,1877,11,7,E,6928.868,38,23.7,29.6,13,26.6,55.1,73,57.2,2,1.189,V,V
207,1933,3,27,E,27157.639,48.6,7.7,19.2,18.6,4.9,39.4,112.6,55.1,0.84,1.158,V,V
259,1984,2,3,E,45732.491,15.6,35.6,19,18.6,4,40.4,77.9,54,0.8,1.138,V,V
25,1865,1,28,E,2263.897,38,23.7,18.5,18.3,2.3,30.9,94.3,60.6,0.85,1.138,V,V
57,1875,7,4,E,6072.727,38,23.7,21.6,16.7,13.7,37.1,94,59.4,1.1,1.129,V,V
61,1877,3,16,E,6693.62,38,23.7,18.5,18.4,1.8,38.4,91.4,55.8,0.79,1.12,V,V
76,1880,1,10,M,7726.444,38,23.7,23.8,15.2,-18.4,-41.6,-87,60.6,1.4,1.115,V,V
217,1935,4,4,E,27896.009,48.2,5.1,18.2,17.9,3.6,30.8,109.7,59.6,0.82,1.077,V,V
24,1864,11,1,E,2175.144,38,23.7,23.7,15.2,18.2,48.6,79.6,56.4,1.3,1.05,V,V
264,1984,5,2,E,45821.657,15.6,35.6,17.8,17.8,0.9,36.7,75.2,56.2,0.73,1.024,V,V
210,1933,9,18,M,27335.264,48.6,7.7,19.3,17.1,-9.1,-37.9,-101.3,56.6,0.87,1.024,V,V
50,1872,10,4,E,5069.146,38,23.7,24.6,14.3,20.1,49.1,70.1,57,1.4,1.016,V,V
8,1861,8,8,E,994.037,38,23.7,29.3,10.8,27.3,52.9,52.3,59.4,2.1,0.984,V,V
168,1986,10,5,E,46707.288,40.8,-73.2,28.5,11.2,26.3,52,57.7,59.5,2,0.979,V,V
12,1861,12,3,E,1111.596,38,23.7,21.7,15.1,15.6,37.4,85.1,60.3,1.2,0.976,V,V
206,1932,4,7,E,26803.556,50,36.2,18.2,17.2,6.1,39.7,110,54,0.74,0.965,V,V
60,1876,7,22,E,6456.704,38,23.7,22,14.2,16.9,37.4,73.9,60.5,1.2,0.908,V,V
268,1984,7,29,E,45909.994,15.6,35.6,17.3,16.5,5.1,28.8,69.7,60.4,0.75,0.905,V,V
287,1992,3,5,E,48686.057,39,-76.8,16.9,16.9,-0.5,34.3,84.4,55.2,0.65,0.894,V,V
58,1876,2,26,E,6309.764,38,23.7,17.3,16.6,5,34.5,82,57.1,0.71,0.889,V,V
110,1961,1,17,E,37316.396,34,-118.3,16.9,16.3,4.4,28.2,81.3,61.3,0.72,0.866,V,V
5,1860,6,20,E,580.725,38,23.7,20.1,14.7,13.7,37.1,82.1,59.1,1,0.851,V,V
68,1878,7,31,E,7195.403,38,23.7,25.2,11.8,22.3,44.4,58.5,60.3,1.6,0.846,V,V
193,1987,5,29,E,46943.134,39.2,-105.5,17.4,16.2,6.4,35.8,96.3,54.5,0.68,0.839,V,V
14,1862,3,31,E,1229.823,38,23.7,16.4,16.4,0.1,33.6,82.4,54.6,0.61,0.818,V,V
30,1865,10,21,E,2529.185,38,23.7,21.7,13.6,16.9,47.7,68.7,54.2,1,0.77,V,V
55,1874,4,17,E,5630.08,38,23.7,16.3,15.5,4.8,27.7,79.8,60.8,0.66,0.762,V,V
51,1872,12,31,E,5157.776,38,23.7,19.8,13.6,14.5,33.2,77.3,61,1,0.744,V,V
45,1872,6,7,E,4950.641,38,23.7,18,14.9,10.2,39,84.8,54.2,0.73,0.734,V,V
235,1989,4,4,M,47622.648,41.9,-88.7,24,11.3,-21.2,-40.4,-56.3,61.1,1.4,0.733,V,V
257,1984,1,4,E,45702.719,15.6,35.6,16.6,15.5,5.9,34.6,67.8,54.7,0.62,0.732,V,V
23,1864,9,3,E,2115.756,38,23.7,27,10.3,24.9,59.1,49.2,54.3,1.6,0.722,V,V
83,1909,2,21,E,18357.954,51.1,0,19.2,13.6,13.6,31.2,86.2,61.3,0.93,0.713,V,V
53,1873,5,27,E,5304.89,38,23.7,16.9,15.1,7.7,32.9,85.3,56.5,0.66,0.713,V,V
211,1934,3,16,E,27512.006,55.6,33.9,15.9,15.1,4.7,28.4,104.6,58.2,0.61,0.69,V,V
62,1877,6,12,E,6782.106,38,23.7,16.4,14.5,7.7,27.9,83.5,60.1,0.67,0.658,V,V
283,1990,12,18,E,48242.682,39,-76.8,19,13.6,13.3,42,78.3,54.3,0.81,0.646,V,V
47,1872,9,4,E,5039.537,38,23.7,19.7,13.1,14.7,40.4,62.9,55.3,0.88,0.635,V,V
42,1871,6,19,E,4596.604,38,23.7,18.2,13.8,11.9,39.9,77.3,54.4,0.74,0.629,V,V
34,1867,11,27,E,3296.716,38,23.7,16.8,14.4,8.7,34.5,77,54.4,0.63,0.628,V,V
84,1911,6,27,E,19214.057,49.9,2.3,19.2,12.7,14.5,31.4,97.3,60.8,0.93,0.616,V,V
82,1908,2,3,E,17973.859,56,-3.2,19.8,12.3,15.6,32.9,95.1,61,1,0.603,V,V
64,1877,12,6,E,6958.42,38,23.7,21.2,12,17.5,41.5,68.5,56.1,1,0.598,V,V
104,1922,4,28,E,23171.71,-33.9,18.5,17.6,13.6,-11.2,35.6,65.3,56.1,0.72,0.596,V,V
218,1982,4,24,E,45083.354,37.2,-84.1,16.8,13.7,9.7,28.3,68.5,60.4,0.7,0.595,V,V
248,1990,4,25,E,48006.686,37.7,-121.5,14.6,14.5,0.5,22.9,76.8,61.3,0.54,0.591,V,V
18,1864,2,8,E,1909.257,53.5,-2.3,14.9,14.4,4.1,23.6,97.4,61.3,0.56,0.587,V,V
213,1934,5,14,E,27571.021,48.2,5.1,15.8,14.3,6.7,31.4,101.1,55.2,0.57,0.587,V,V
117,1971,3,27,E,41037.308,51,0,14.7,14.4,2.9,23.7,90.1,61,0.54,0.578,V,V
27,1865,4,26,E,2352.094,38,23.7,16,13.9,7.9,27.5,71,60.2,0.63,0.576,V,V
273,1984,10,25,E,45998.008,15.6,35.6,16,13.6,8.3,27.4,55.4,60.5,0.64,0.553,I,V
216,1935,2,4,E,27837.186,48.2,5.1,15,13.9,5.5,24.9,85,61.3,0.57,0.547,V,V
89,1918,3,13,E,21665.328,50.2,5.1,14.3,14.2,1.6,22.4,85.4,61.3,0.52,0.545,V,V
286,1991,9,7,M,48507.96,50.4,-4.4,17.1,13,-11.2,-30,-79.6,59.9,0.73,0.54,V(V),V
43,1871,8,17,E,4655.793,38,23.7,17.9,12.7,12.6,34.7,63,56.7,0.75,0.527,V,V
236,1989,4,6,E,47622.648,34,-107.2,14,14,-1.2,22.5,66.3,61.1,0.5,0.51,V,V
88,1916,4,3,E,20956.182,49.4,8.7,14.2,14.1,1.9,26.3,86.7,56.5,0.47,0.507,V,V
69,1878,10,27,E,7283.458,38,23.7,24.4,8.8,22.8,40.9,45,60.4,1.5,0.498,V,V
108,1953,4,14,E,34481.341,51.1,5.3,14.1,13.8,2.9,23,92.4,59.9,0.5,0.497,V(F),V
249,1990,5,23,M,48035.993,31.6,-110.5,15.1,13.2,-7.4,-24,-64.5,61.3,0.58,0.481,V,V
111,1962,4,5,E,37759.324,-25.8,-28.2,15.1,13.2,-7.3,24.4,55.7,60.6,0.57,0.477,V(F),V
277,1984,12,23,E,46056.991,15.6,35.6,15.1,13.3,7.2,27.9,58.5,57.5,0.55,0.472,V,V
29,1865,7,24,E,2440.271,38,23.7,23.7,9.4,21.8,47.5,46.3,55.4,1.3,0.467,V,V
101,1922,2,28,E,23112.283,-33.9,18.5,21.2,10.8,-18.2,47,48.7,54.1,1,0.466,V,V
212,1934,5,14,E,27571.021,50,36.2,14.9,13.4,6.5,29.4,99.6,55.2,0.51,0.463,V,V
291,1996,1,19,M,50103.036,32.4,-111,14.5,13.3,-5.8,-22.9,-64.4,61.3,0.53,0.463,V(V),V
112,1965,9,24,M,39028.638,51.1,5.3,13.7,13.6,-1.6,-22.5,-84,60.2,0.47,0.461,V,V
125,1976,12,21,E,43133.589,37.6,-122.5,14.1,13.4,4.4,23.3,72,59.8,0.49,0.457,V,V
165,1980,7,14,E,44432.782,41.4,-70.7,20.9,10.7,18,41.9,58.5,55.9,1,0.453,V,V
1,1859,7,1,E,226.113,38,23.7,16.4,12.3,10.9,27.6,67.1,61.1,0.68,0.442,V,V
121,1973,3,5,E,41746.505,40,-85,13.6,13.5,-1,24,67.4,58.3,0.44,0.436,V(F),V
13,1862,1,1,E,1141.08,37.9,22.9,14.6,13.1,6.4,25.9,70.9,59.3,0.52,0.436,V,V
219,1983,7,9,M,45526.014,37.2,-84.1,15.4,12.6,-8.9,-26.4,-68.5,60.5,0.59,0.426,V,V
79,1899,3,12,E,14725.329,52.5,13.3,13.3,13.2,1.6,21.8,83.3,59.5,0.44,0.402,V,V
214,1934,5,14,E,27571.021,55.6,33.9,15.2,12.7,8.4,30.1,117.4,55.2,0.53,0.399,V,V
109,1954,3,5,E,34806.633,44.5,-88,13.2,13.2,0.2,21.1,70.4,61,0.44,0.396,V,V
118,1971,4,25,E,41066.669,39.5,-88.2,13.2,13.2,0.3,21.1,71,60.1,0.43,0.396,V(F),V
262,1984,4,2,E,45792.007,15.6,35.6,13.4,13.3,1.9,28.1,52.5,54.7,0.41,0.39,I,V
6,1861,3,12,E,846.067,38,23.7,13.4,13.3,-1.6,27.4,64.3,54,0.4,0.386,V,V
90,1919,4,1,E,22049.378,53.9,-1.6,13.5,12.9,4.1,22.2,86.2,61.1,0.46,0.38,V,V
114,1970,4,6,E,40682.674,48,-122,13.3,13,2.4,23.2,77.8,58.7,0.43,0.378,V,V
85,1911,8,25,E,19272.677,49.9,2.3,21.5,9.3,19.4,39,53.4,58.2,1.1,0.366,V,V
269,1984,8,27,E,45939.31,15.6,35.6,13.3,12.7,3.8,20.8,50.1,61.2,0.45,0.354,I,V
208,1933,5,25,E,27216.921,55.6,33.9,15.7,12.1,10,32.9,121,53.9,0.55,0.354,V,V
192,1987,4,28,E,46913.566,37,-122,13.1,13,1.6,25.8,67,55.7,0.39,0.353,V,V
146,1978,1,9,E,43517.667,29.7,-98.1,12.8,12.8,0,20.3,60.1,61,0.42,0.352,V,V
97,1921,8,4,E,22905.346,-33.9,18.5,12.8,12.8,0.4,20.3,60.9,61.3,0.42,0.351,V,V
67,1878,7,1,E,7166.022,38,23.7,16.1,11.6,11.1,29.8,63.1,58.8,0.63,0.35,V,V
247,1990,4,25,E,48006.686,41.6,-73.7,12.8,12.8,0.7,19.8,71.5,61.3,0.42,0.35,I(V),V
22,1864,8,4,E,2086.106,38,23.7,23.8,8.3,22.3,51.3,39.7,54,1.3,0.347,I,V
124,1976,12,21,E,43133.589,29.9,-81.3,12.8,12.7,1.7,20.8,60.5,59.9,0.41,0.33,V,V
167,1985,1,21,E,46086.603,19,-155,13.8,12.4,6.1,26,53.3,56,0.44,0.32,V,V
80,1900,5,29,E,15168.119,38.7,-0.7,15.3,11.7,10,28.9,63.8,57.7,0.56,0.316,V,V
145,1978,1,9,E,43517.667,30,-90.2,12.6,12.6,0,19.7,58.8,61,0.4,0.312,V,V
144,1978,1,9,E,43517.667,30,-90.2,12.6,12.6,0,19.7,58.8,61,0.4,0.312,V(F),V
221,1983,12,5,E,45673.018,37.2,-84.1,17,11,12.9,34.3,60,55.9,0.66,0.31,I(V),V
143,1978,1,9,E,43517.667,30.9,-90.2,12.5,12.5,0.2,19.7,59.4,61,0.4,0.31,V(F),V
191,1987,4,28,E,46913.566,40.7,-111.9,12.8,12.6,2.4,25.3,69,55.8,0.38,0.305,V,V
215,1934,6,13,E,27600.591,55.6,33.9,19,10.1,16.1,41,97.1,54.2,0.81,0.299,V,V
38,1871,2,20,E,4478.076,38,23.7,14.5,11.8,8.5,26.7,57.9,56.8,0.49,0.289,V,V
139,1978,1,9,E,43517.667,27.7,-82.7,12.3,12.3,-0.7,19.3,56.1,61,0.38,0.278,V(F),V
255,1983,12,5,E,45673.018,15.6,35.6,13.4,12.1,5.8,27,51.8,56.1,0.42,0.276,I,V
16,1862,7,28,E,1348.378,38,23.7,22.3,8.2,20.8,44.9,39,56.2,1.1,0.275,I,V
115,1970,6,4,E,40741.598,26.3,-98.2,12.4,12.4,0.5,23.4,59.6,55.6,0.36,0.273,V,V
189,1987,4,28,E,46913.566,30.6,-104,12.4,12.4,-0.1,24.4,58.3,55.8,0.35,0.272,V(F),V
190,1987,4,28,E,46913.566,30.6,-104,12.4,12.4,-0.1,24.4,58.3,55.8,0.35,0.272,V,V
129,1977,12,11,E,43488.233,47.8,20,13.9,11.6,7.7,21.8,76.2,61.4,0.49,0.272,V,V
137,1978,1,9,E,43517.667,33.9,-84.3,12.3,12.2,0.8,19.2,60.2,61,0.38,0.271,V(F),V
56,1875,6,4,E,6043.432,51.5,-2.6,14.2,11.5,8.4,22.7,96.3,60.8,0.51,0.27,V,V
116,1970,6,4,E,40741.598,28,-97,12.4,12.4,0.9,23.4,60.6,55.6,0.35,0.27,V,V
243,1989,6,4,E,47681.33,50.8,-1,14.5,11.5,8.8,25,92.6,58.8,0.51,0.27,V,V
130,1978,1,9,E,43517.667,41.6,-93.6,12.4,12.2,2.7,19.5,67.8,61,0.39,0.269,V,V
141,1978,1,9,E,43517.667,29.9,-81.3,12.2,12.2,-0.2,19.1,57.1,61,0.38,0.268,V,V
140,1978,1,9,E,43517.667,29.9,-81.3,12.2,12.2,-0.2,19.1,57.1,61,0.38,0.268,V,V
123,1976,12,21,E,43133.589,42,-91.6,12.9,12,4.7,21,69.2,59.9,0.41,0.267,V(F),V
94,1921,2,8,E,22728.526,34.2,-118,12.4,12.3,-1,25.3,57.9,54.5,0.35,0.262,V(F),V
223,1984,3,3,E,45762.272,37.2,-84.1,14.2,11.7,8,29.4,55.9,54,0.45,0.258,I(V),V
135,1978,1,9,E,43517.667,34,-81.1,12.1,12.1,0.7,19,59.7,61,0.37,0.255,V(F),V
136,1978,1,9,E,43517.667,34,-81.1,12.1,12.1,0.7,19,59.7,61,0.37,0.255,V(F),V
265,1984,5,31,E,45851.2,15.6,35.6,12.2,12.1,0.9,23.7,52.2,57.5,0.35,0.246,I,V
188,1987,4,28,E,46913.566,30.3,-97.7,12.2,12.2,-0.2,23.9,57,55.8,0.34,0.244,V,V
134,1978,1,9,E,43517.667,36,-79.8,12.1,12,1.1,18.8,60.8,61,0.37,0.24,V(F),V
142,1978,1,9,E,43517.667,43,-89.8,12.3,11.9,2.9,19.2,68.3,61,0.38,0.24,V(F),V
132,1978,1,9,E,43517.667,36,-79.8,12.1,12,1.1,18.8,60.8,61,0.37,0.24,V(F),V
133,1978,1,9,E,43517.667,36,-79.8,12.1,12,1.1,18.8,60.8,61,0.37,0.24,V,V
59,1876,6,22,E,6427.429,38,23.7,12.9,11.7,5.4,20.1,66.2,61.3,0.42,0.239,I,V
138,1978,1,9,E,43517.667,41.9,-87.6,12.2,11.9,2.6,19.1,66.9,61,0.38,0.239,V,V
92,1921,2,8,E,22728.526,35.2,-111.7,12.2,12.2,-0.9,24.8,57.8,54.5,0.34,0.238,V,V
187,1987,4,28,E,46913.566,41.6,-93.7,12.2,12,2.4,24.1,66.6,55.8,0.35,0.228,I,V
93,1921,2,8,E,22728.526,32.2,-110,12.2,12.1,-1.5,24.8,55.2,54.5,0.33,0.228,V,V
81,1901,4,19,E,15493.401,50.7,-2.8,13.1,11.5,6.4,22.1,73.7,61.3,0.44,0.227,V,V
126,1976,12,21,E,43133.589,43.8,-87.7,12.7,11.7,5,20.7,69.8,59.9,0.4,0.227,V,V
113,1970,4,6,E,40682.674,44.5,-88,12,11.9,1,20.7,65.6,58.8,0.35,0.222,V(F),V
131,1978,1,9,E,43517.667,38.9,-76.9,11.9,11.8,1.7,18.5,62.4,61,0.36,0.211,V(B),V(V)
233,1988,6,13,M,47326.885,37.2,-84.1,12.8,11.6,-5.4,-23.5,-64.5,56.8,0.39,0.211,I(V),V(V)
40,1871,5,20,E,4566.948,38,23.7,14.2,11.2,8.7,31.2,59.7,54,0.45,0.211,I,V(V)
186,1987,4,28,E,46913.566,30,-90.1,11.9,11.9,-0.4,23.4,55.5,55.8,0.33,0.21,V,V(V)
185,1987,4,28,E,46913.566,40.8,-87.7,12,11.8,2.1,23.6,64.6,55.8,0.33,0.205,I,V(V)
184,1987,4,28,E,46913.566,33,-87.4,11.9,11.9,0.3,23.3,57.4,55.8,0.33,0.204,I,V(V)
164,1979,1,28,E,43901.764,37.8,-122.4,11.9,11.7,2.3,19.6,58.8,61.4,0.36,0.201,V(F),V(V)
155,1978,3,9,E,43576.609,50.3,-119.3,12.7,11.5,5.4,23.8,67.6,58.1,0.39,0.198,V,V(V)
203,1908,5,1,E,18062.149,44.1,3.1,14.7,10.7,10.2,27.7,60.1,57.1,0.51,0.193,V,V(V)
181,1987,4,28,E,46913.566,33.7,-84.4,11.8,11.8,0.4,23.1,57.5,55.8,0.32,0.192,I,V(V)
100,1922,1,29,E,23082.492,-33.9,18.5,19.5,8.8,-17.4,42.4,40.5,54,0.85,0.191,I,V(V)
77,1881,3,30,E,8169.44,51.5,-2.6,11.8,11.7,1.6,20.7,73.1,57.8,0.33,0.189,V,V(V)
183,1987,4,28,E,46913.566,42.7,-84.5,12,11.7,2.5,23.5,66.1,55.8,0.33,0.188,V,V(V)
182,1987,4,28,E,46913.566,42.7,-84.5,12,11.7,2.5,23.5,66.1,55.8,0.33,0.188,V,V(V)
177,1987,4,28,E,46913.566,36.2,-81.7,11.8,11.7,1,23,59.1,55.8,0.32,0.183,V(F),V(V)
178,1987,4,28,E,46913.566,36.2,-81.7,11.8,11.7,1,23,59.1,55.8,0.32,0.183,V,V(V)
176,1987,4,28,E,46913.566,36.2,-81.7,11.8,11.7,1,23,59.1,55.8,0.32,0.183,I,V(V)
105,1922,5,27,E,23201.253,-33.9,18.5,12.3,11.4,-4.5,22.1,56.4,57.3,0.36,0.179,V,V(V)
107,1942,12,8,E,30701.584,40.7,-74,12.6,11.1,5.8,19.9,61.9,61.2,0.4,0.172,V(F),V(V)
180,1987,4,28,E,46913.566,28,-82.5,11.7,11.6,-0.8,22.8,52.8,55.8,0.31,0.171,I,V(V)
179,1987,4,28,E,46913.566,26.7,-81.8,11.6,11.6,-1.1,22.8,51.8,55.8,0.31,0.164,V(F),V(V)
173,1987,4,28,E,46913.566,38.9,-77.1,11.7,11.6,1.5,22.8,60.8,55.8,0.31,0.163,I,V(V)
174,1987,4,28,E,46913.566,38.9,-77.1,11.7,11.6,1.5,22.8,60.8,55.8,0.31,0.163,V(F),V(V)
175,1987,4,28,E,46913.566,38.9,-77.1,11.7,11.6,1.5,22.8,60.8,55.8,0.31,0.163,V(F),V(V)
170,1987,4,28,E,46913.566,38.9,-77,11.6,11.5,1.5,22.8,60.8,55.8,0.31,0.163,V(F),V(V)
171,1987,4,28,E,46913.566,38.9,-77.1,11.7,11.6,1.5,22.8,60.8,55.8,0.31,0.163,I,V(V)
172,1987,4,28,E,46913.566,38.9,-77.1,11.7,11.6,1.5,22.8,60.8,55.8,0.31,0.163,I(B),V(V)
209,1933,8,20,M,27305.741,48.6,7.7,12.6,11.2,-5.6,-25.8,-70,55.5,0.36,0.161,V,V(V)
28,1865,6,24,E,2410.832,38,23.7,18.6,8.7,16.4,34.2,44.8,57.1,0.81,0.161,I,V(V)
99,1921,12,30,E,23052.735,-33.9,18.5,18,9.1,-15.5,36.7,44.1,54.7,0.73,0.155,I,V(V)
204,1911,1,31,E,19066.906,51,-0.9,16.4,9.7,13.3,31.6,65.2,56.6,0.63,0.154,V,V(V)
152,1978,3,9,E,43576.609,41.6,-93.6,11.8,11.3,3.3,22.1,56.9,58.1,0.33,0.153,V,V(V)
153,1978,3,9,E,43576.609,41.6,-93.6,11.8,11.3,3.3,22.1,56.9,58.1,0.33,0.153,V,V(V)
151,1978,3,9,E,43576.609,40.5,-89,11.6,11.2,3,21.7,55.4,58.2,0.33,0.139,V,V(V)
154,1978,3,9,E,43576.609,40.5,-89,11.6,11.2,3,21.7,55.4,58.2,0.33,0.139,V,V(V)
202,1885,12,7,E,9882.053,50.6,5.7,13.5,10.7,8.3,26.8,75.3,54.6,0.41,0.136,V,V(V)
205,1920,4,19,E,22433.405,43.5,7,11.9,10.9,4.8,21,59.5,60.2,0.36,0.126,V,V(V)
163,1979,1,28,E,43901.764,47.6,-122.3,11.7,10.9,4.2,19.2,65.5,61.4,0.35,0.116,V(F),V(V)
2,1859,10,27,E,343.523,38,23.7,21.4,6.8,20.3,39.2,33.3,57.5,1.1,0.109,V,V(V)
87,1915,3,16,E,20572.321,49.4,8.7,11.2,11,1.7,22.3,63.9,55.2,0.29,0.094,V,V(V)
31,1866,1,17,E,2618.359,38,23.7,11,11,0.5,19.3,56.3,57.6,0.29,0.093,I,V(V)
91,1921,2,8,E,22728.526,42.3,-71.1,11,11,0.1,21.9,57.6,54.5,0.27,0.081,V,V(V)
78,1889,11,22,M,11329.573,50.9,4.2,11.5,10.6,-4.3,-19.1,-71.3,60,0.33,0.079,V,V(V)
290,1995,6,28,E,49896.534,-30.1,-71,10.9,10.9,-0.2,21.5,51.5,54.2,0.27,0.075,V,V(V)
33,1867,2,5,E,3002.261,38,23.7,11,10.8,1.6,22,53.6,56.1,0.28,0.071,I,V(V)
128,1977,11,10,M,43458.8,30.7,-104,10.7,10.7,-0.7,-18.3,-48.4,60.4,0.29,0.062,V(F),V(V)
156,1978,3,9,E,43576.609,41.3,-72.9,11,10.7,2.9,20.6,52.9,58.2,0.29,0.062,V(F),V(V)
149,1978,3,9,E,43576.609,41.3,-72.9,11,10.7,2.9,20.6,52.9,58.2,0.29,0.062,V,V(V)
150,1978,3,9,E,43576.609,42.7,-73.8,11.1,10.6,3.2,20.7,53.9,58.2,0.3,0.058,V,V(V)
148,1978,3,9,E,43576.609,42.7,-73.8,11.1,10.6,3.2,20.7,53.9,58.2,0.3,0.058,V(F),V(V)
127,1977,2,18,E,43192.651,42.7,-83.6,10.7,10.7,0.4,20,55.5,56.7,0.27,0.057,V(F),V(V)
201,1987,6,26,E,46972.733,37,-122,11.3,10.6,4,22.4,58.8,54,0.29,0.055,V,V(V)
200,1987,6,26,E,46972.733,33.5,-112.1,11,10.6,2.9,21.5,55.3,54,0.27,0.043,V,V(V)
161,1979,1,28,E,43901.764,38.7,-90.3,10.6,10.5,1.9,17.3,52.9,61.4,0.29,0.038,V(B),V(V)
159,1979,1,28,E,43901.764,29.7,-82.4,10.5,10.5,0.1,17.1,46.9,61.4,0.28,0.034,V(B),V(V)
162,1979,1,28,E,43901.764,42,-93.6,10.7,10.4,2.6,17.5,55.5,61.4,0.29,0.033,V,V(V)
158,1979,1,28,E,43901.764,29.9,-81.3,10.4,10.4,0.1,17,46.8,61.4,0.28,0.028,V,V(V)
160,1979,1,28,E,43901.764,42,-91.7,10.6,10.3,2.5,17.3,55.2,61.4,0.29,0.024,V(B),V(V)
197,1987,6,26,E,46972.733,30,-100,10.6,10.4,1.8,20.5,51.6,54,0.25,0.014,I,V(V)
106,1931,8,13,M,26567.352,48.6,7.7,10.5,10.3,-2,-16.6,-66.4,60.1,0.27,0.01,V(T),V(V)
230,1988,1,19,E,47179.727,32.2,-111,12.2,9.7,7.4,19.6,46.3,61.3,0.38,0.01,I(V),V(V)
260,1984,3,3,E,45762.272,15.6,35.6,10.9,10.3,3.6,21.5,39.9,54,0.27,0.007,I,V(V)
199,1987,6,26,E,46972.733,40.7,-111.9,11.1,10.2,4.6,21.9,60.3,54,0.28,0.003,V(B),V(V)
147,1978,3,9,E,43576.609,45.1,-64.2,10.7,10.2,3.5,20,53.5,58.2,0.28,0.002,V,V(V)
86,1913,11,28,E,20099.57,-33.9,18.5,10.3,10.3,0,16.4,53.1,58.7,0.26,-0.001,V,V(V)
198,1987,6,26,E,46972.733,39.8,-105,10.9,10.1,4.2,21.4,58.8,54,0.27,-0.01,I,V(V)
251,1990,5,24,E,48035.993,34.2,-118.1,10.1,10.1,0.7,15.4,51.9,61.2,0.26,-0.014,I(V),V(V)
